id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produksi_perikanan,satuan,tahun,jenis_produksi
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,88950.96,TON,2018,lele
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,6301.15,TON,2018,lele
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,42016.94,TON,2018,lele
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,6061.2,TON,2018,lele
5,32,JAWA BARAT,3205,KABUPATEN GARUT,1807.57,TON,2018,lele
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3612.83,TON,2018,lele
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,12112.64,TON,2018,lele
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,10612.45,TON,2018,lele
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,15023.63,TON,2018,lele
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1380.57,TON,2018,lele
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,154.14,TON,2018,lele
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,38415.58,TON,2018,lele
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,0.0,TON,2018,lele
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,259.11,TON,2018,lele
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,6010.99,TON,2018,lele
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,1770.21,TON,2018,lele
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,503.42,TON,2018,lele
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,5683.29,TON,2018,lele
19,32,JAWA BARAT,3271,KOTA BOGOR,1687.61,TON,2018,lele
20,32,JAWA BARAT,3272,KOTA SUKABUMI,470.81,TON,2018,lele
21,32,JAWA BARAT,3273,KOTA BANDUNG,55.14,TON,2018,lele
22,32,JAWA BARAT,3274,KOTA CIREBON,31.94,TON,2018,lele
23,32,JAWA BARAT,3275,KOTA BEKASI,1368.61,TON,2018,lele
24,32,JAWA BARAT,3276,KOTA DEPOK,608.14,TON,2018,lele
25,32,JAWA BARAT,3277,KOTA CIMAHI,360.97,TON,2018,lele
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1500.76,TON,2018,lele
27,32,JAWA BARAT,3279,KOTA BANJAR,463.83,TON,2018,lele
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,89910.48,TON,2019,lele
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,12243.56,TON,2019,lele
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,14124.12,TON,2019,lele
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,5372.79,TON,2019,lele
32,32,JAWA BARAT,3205,KABUPATEN GARUT,3162.17,TON,2019,lele
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,9921.1,TON,2019,lele
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,18162.83,TON,2019,lele
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,3690.97,TON,2019,lele
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,9987.42,TON,2019,lele
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1704.69,TON,2019,lele
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,125.3,TON,2019,lele
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,70666.95,TON,2019,lele
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,2672.04,TON,2019,lele
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,568.59,TON,2019,lele
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,759.06,TON,2019,lele
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,2019.12,TON,2019,lele
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,17391.28,TON,2019,lele
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,60.22,TON,2019,lele
46,32,JAWA BARAT,3271,KOTA BOGOR,2249.79,TON,2019,lele
47,32,JAWA BARAT,3272,KOTA SUKABUMI,487.93,TON,2019,lele
48,32,JAWA BARAT,3273,KOTA BANDUNG,51.02,TON,2019,lele
49,32,JAWA BARAT,3274,KOTA CIREBON,73.65,TON,2019,lele
50,32,JAWA BARAT,3275,KOTA BEKASI,1232.02,TON,2019,lele
51,32,JAWA BARAT,3276,KOTA DEPOK,105.6,TON,2019,lele
52,32,JAWA BARAT,3277,KOTA CIMAHI,207.62,TON,2019,lele
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1415.17,TON,2019,lele
54,32,JAWA BARAT,3279,KOTA BANJAR,290.73,TON,2019,lele
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,85487.0,TON,2020,lele
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,11803.69,TON,2020,lele
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,12340.0,TON,2020,lele
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,6286.5,TON,2020,lele
59,32,JAWA BARAT,3205,KABUPATEN GARUT,2919.15,TON,2020,lele
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,4229.0,TON,2020,lele
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,4341.1,TON,2020,lele
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,4301.08,TON,2020,lele
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,9039.93,TON,2020,lele
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2265.63,TON,2020,lele
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,680.73,TON,2020,lele
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,89693.63,TON,2020,lele
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,1838.15,TON,2020,lele
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,600.78,TON,2020,lele
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,766.39,TON,2020,lele
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,2064.99,TON,2020,lele
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1892.74,TON,2020,lele
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,28.46,TON,2020,lele
73,32,JAWA BARAT,3271,KOTA BOGOR,2431.76,TON,2020,lele
74,32,JAWA BARAT,3272,KOTA SUKABUMI,656.68,TON,2020,lele
75,32,JAWA BARAT,3273,KOTA BANDUNG,74.45,TON,2020,lele
76,32,JAWA BARAT,3274,KOTA CIREBON,83.93,TON,2020,lele
77,32,JAWA BARAT,3275,KOTA BEKASI,1309.07,TON,2020,lele
78,32,JAWA BARAT,3276,KOTA DEPOK,94.18,TON,2020,lele
79,32,JAWA BARAT,3277,KOTA CIMAHI,190.77,TON,2020,lele
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1479.49,TON,2020,lele
81,32,JAWA BARAT,3279,KOTA BANJAR,300.47,TON,2020,lele
