id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produksi_padi,satuan,tahun,jenis_produksi
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,559367,TON,2013,padi
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,767668,TON,2013,padi
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,882663,TON,2013,padi
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,584336,TON,2013,padi
5,32,JAWA BARAT,3205,KABUPATEN GARUT,917503,TON,2013,padi
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,845027,TON,2013,padi
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,662779,TON,2013,padi
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,369242,TON,2013,padi
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,562122,TON,2013,padi
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,659403,TON,2013,padi
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,503912,TON,2013,padi
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1435938,TON,2013,padi
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,1022571,TON,2013,padi
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,203224,TON,2013,padi
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1147212,TON,2013,padi
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,537388,TON,2013,padi
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,252712,TON,2013,padi
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,TON,2013,padi
19,32,JAWA BARAT,3271,KOTA BOGOR,3585,TON,2013,padi
20,32,JAWA BARAT,3272,KOTA SUKABUMI,21721,TON,2013,padi
21,32,JAWA BARAT,3273,KOTA BANDUNG,13654,TON,2013,padi
22,32,JAWA BARAT,3274,KOTA CIREBON,2384,TON,2013,padi
23,32,JAWA BARAT,3275,KOTA BEKASI,3926,TON,2013,padi
24,32,JAWA BARAT,3276,KOTA DEPOK,1880,TON,2013,padi
25,32,JAWA BARAT,3277,KOTA CIMAHI,2846,TON,2013,padi
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,78975,TON,2013,padi
27,32,JAWA BARAT,3279,KOTA BANJAR,41124,TON,2013,padi
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,517442,TON,2014,padi
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,897485,TON,2014,padi
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,830545,TON,2014,padi
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,462977,TON,2014,padi
32,32,JAWA BARAT,3205,KABUPATEN GARUT,972890,TON,2014,padi
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,881026,TON,2014,padi
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,448641,TON,2014,padi
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,356550,TON,2014,padi
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,520017,TON,2014,padi
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,634260,TON,2014,padi
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,475190,TON,2014,padi
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1361374,TON,2014,padi
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,964845,TON,2014,padi
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,198964,TON,2014,padi
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1122582,TON,2014,padi
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,439054,TON,2014,padi
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,256687,TON,2014,padi
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,157035,TON,2014,padi
46,32,JAWA BARAT,3271,KOTA BOGOR,2516,TON,2014,padi
47,32,JAWA BARAT,3272,KOTA SUKABUMI,21971,TON,2014,padi
48,32,JAWA BARAT,3273,KOTA BANDUNG,9729,TON,2014,padi
49,32,JAWA BARAT,3274,KOTA CIREBON,2271,TON,2014,padi
50,32,JAWA BARAT,3275,KOTA BEKASI,3522,TON,2014,padi
51,32,JAWA BARAT,3276,KOTA DEPOK,2031,TON,2014,padi
52,32,JAWA BARAT,3277,KOTA CIMAHI,3353,TON,2014,padi
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,66423,TON,2014,padi
54,32,JAWA BARAT,3279,KOTA BANJAR,35519,TON,2014,padi
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,492207,TON,2015,padi
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,842654,TON,2015,padi
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,851649,TON,2015,padi
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,483316,TON,2015,padi
59,32,JAWA BARAT,3205,KABUPATEN GARUT,919971,TON,2015,padi
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,843095,TON,2015,padi
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,402620,TON,2015,padi
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,355015,TON,2015,padi
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,443468,TON,2015,padi
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,611223,TON,2015,padi
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,433576,TON,2015,padi
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1294158,TON,2015,padi
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,1028009,TON,2015,padi
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,211524,TON,2015,padi
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1188633,TON,2015,padi
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,447869,TON,2015,padi
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,205562,TON,2015,padi
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,166428,TON,2015,padi
73,32,JAWA BARAT,3271,KOTA BOGOR,3588,TON,2015,padi
74,32,JAWA BARAT,3272,KOTA SUKABUMI,24473,TON,2015,padi
75,32,JAWA BARAT,3273,KOTA BANDUNG,10672,TON,2015,padi
76,32,JAWA BARAT,3274,KOTA CIREBON,2427,TON,2015,padi
77,32,JAWA BARAT,3275,KOTA BEKASI,3050,TON,2015,padi
78,32,JAWA BARAT,3276,KOTA DEPOK,1476,TON,2015,padi
79,32,JAWA BARAT,3277,KOTA CIMAHI,2241,TON,2015,padi
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,65827,TON,2015,padi
81,32,JAWA BARAT,3279,KOTA BANJAR,38413,TON,2015,padi
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,582917,TON,2016,padi
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,956502,TON,2016,padi
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,939731,TON,2016,padi
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,518331,TON,2016,padi
86,32,JAWA BARAT,3205,KABUPATEN GARUT,962531,TON,2016,padi
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,844659,TON,2016,padi
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,474255,TON,2016,padi
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,369220,TON,2016,padi
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,537949,TON,2016,padi
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,719590,TON,2016,padi
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,454345,TON,2016,padi
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1540984,TON,2016,padi
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,1091620,TON,2016,padi
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,228005,TON,2016,padi
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1149484,TON,2016,padi
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,506169,TON,2016,padi
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,305169,TON,2016,padi
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,189990,TON,2016,padi
100,32,JAWA BARAT,3271,KOTA BOGOR,4744,TON,2016,padi
101,32,JAWA BARAT,3272,KOTA SUKABUMI,24246,TON,2016,padi
102,32,JAWA BARAT,3273,KOTA BANDUNG,6369,TON,2016,padi
103,32,JAWA BARAT,3274,KOTA CIREBON,2830,TON,2016,padi
104,32,JAWA BARAT,3275,KOTA BEKASI,4131,TON,2016,padi
105,32,JAWA BARAT,3276,KOTA DEPOK,1424,TON,2016,padi
106,32,JAWA BARAT,3277,KOTA CIMAHI,1599,TON,2016,padi
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,81863,TON,2016,padi
108,32,JAWA BARAT,3279,KOTA BANJAR,41893,TON,2016,padi
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,562644,TON,2017,padi
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,901902,TON,2017,padi
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,874393,TON,2017,padi
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,590827,TON,2017,padi
113,32,JAWA BARAT,3205,KABUPATEN GARUT,979223,TON,2017,padi
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,905025,TON,2017,padi
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,453002,TON,2017,padi
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,396162,TON,2017,padi
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,478294,TON,2017,padi
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,824735,TON,2017,padi
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,560875,TON,2017,padi
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1224479,TON,2017,padi
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,1244234,TON,2017,padi
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,219072,TON,2017,padi
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1075677,TON,2017,padi
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,404466,TON,2017,padi
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,284720,TON,2017,padi
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,173007,TON,2017,padi
127,32,JAWA BARAT,3271,KOTA BOGOR,4156,TON,2017,padi
128,32,JAWA BARAT,3272,KOTA SUKABUMI,20790,TON,2017,padi
129,32,JAWA BARAT,3273,KOTA BANDUNG,9742,TON,2017,padi
130,32,JAWA BARAT,3274,KOTA CIREBON,1619,TON,2017,padi
131,32,JAWA BARAT,3275,KOTA BEKASI,2636,TON,2017,padi
132,32,JAWA BARAT,3276,KOTA DEPOK,971,TON,2017,padi
133,32,JAWA BARAT,3277,KOTA CIMAHI,1496,TON,2017,padi
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,67603,TON,2017,padi
135,32,JAWA BARAT,3279,KOTA BANJAR,37951,TON,2017,padi
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,485530,TON,2018,padi
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,811132,TON,2018,padi
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,881569,TON,2018,padi
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,609329,TON,2018,padi
140,32,JAWA BARAT,3205,KABUPATEN GARUT,821634,TON,2018,padi
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,763265,TON,2018,padi
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,385059,TON,2018,padi
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,350289,TON,2018,padi
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,475437,TON,2018,padi
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,691237,TON,2018,padi
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,512921,TON,2018,padi
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1370803,TON,2018,padi
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,1061339,TON,2018,padi
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,232960,TON,2018,padi
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1060020,TON,2018,padi
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,389754,TON,2018,padi
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,277411,TON,2018,padi
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,173778,TON,2018,padi
154,32,JAWA BARAT,3271,KOTA BOGOR,3696,TON,2018,padi
155,32,JAWA BARAT,3272,KOTA SUKABUMI,21153,TON,2018,padi
156,32,JAWA BARAT,3273,KOTA BANDUNG,10451,TON,2018,padi
157,32,JAWA BARAT,3274,KOTA CIREBON,1506,TON,2018,padi
158,32,JAWA BARAT,3275,KOTA BEKASI,3439,TON,2018,padi
159,32,JAWA BARAT,3276,KOTA DEPOK,692,TON,2018,padi
160,32,JAWA BARAT,3277,KOTA CIMAHI,1247,TON,2018,padi
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,60510,TON,2018,padi
162,32,JAWA BARAT,3279,KOTA BANJAR,37938,TON,2018,padi
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,557984,TON,2019,padi
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1008771,TON,2019,padi
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1044436,TON,2019,padi
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,785685,TON,2019,padi
167,32,JAWA BARAT,3205,KABUPATEN GARUT,882490,TON,2019,padi
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,907838,TON,2019,padi
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,420910,TON,2019,padi
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,355155,TON,2019,padi
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,583480,TON,2019,padi
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,793448,TON,2019,padi
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,622907,TON,2019,padi
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1795707,TON,2019,padi
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,1388079,TON,2019,padi
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,268877,TON,2019,padi
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1341661,TON,2019,padi
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,413190,TON,2019,padi
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,344681,TON,2019,padi
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,216910,TON,2019,padi
181,32,JAWA BARAT,3271,KOTA BOGOR,4275,TON,2019,padi
182,32,JAWA BARAT,3272,KOTA SUKABUMI,27685,TON,2019,padi
183,32,JAWA BARAT,3273,KOTA BANDUNG,13955,TON,2019,padi
184,32,JAWA BARAT,3274,KOTA CIREBON,1298,TON,2019,padi
185,32,JAWA BARAT,3275,KOTA BEKASI,4969,TON,2019,padi
186,32,JAWA BARAT,3276,KOTA DEPOK,665,TON,2019,padi
187,32,JAWA BARAT,3277,KOTA CIMAHI,1847,TON,2019,padi
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,63924,TON,2019,padi
189,32,JAWA BARAT,3279,KOTA BANJAR,42072,TON,2019,padi
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,403848,TON,2020,padi
191,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,885869,TON,2020,padi
192,32,JAWA BARAT,3203,KABUPATEN CIANJUR,852212,TON,2020,padi
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,550372,TON,2020,padi
194,32,JAWA BARAT,3205,KABUPATEN GARUT,659469,TON,2020,padi
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,670231,TON,2020,padi
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,358157,TON,2020,padi
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,332462,TON,2020,padi
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,506027,TON,2020,padi
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,612795,TON,2020,padi
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,425506,TON,2020,padi
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1345271,TON,2020,padi
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,1016605,TON,2020,padi
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,209408,TON,2020,padi
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1036257,TON,2020,padi
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,203494,TON,2020,padi
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,263789,TON,2020,padi
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,161427,TON,2020,padi
208,32,JAWA BARAT,3271,KOTA BOGOR,2622,TON,2020,padi
209,32,JAWA BARAT,3272,KOTA SUKABUMI,20166,TON,2020,padi
210,32,JAWA BARAT,3273,KOTA BANDUNG,9025,TON,2020,padi
211,32,JAWA BARAT,3274,KOTA CIREBON,955,TON,2020,padi
212,32,JAWA BARAT,3275,KOTA BEKASI,2278,TON,2020,padi
213,32,JAWA BARAT,3276,KOTA DEPOK,494,TON,2020,padi
214,32,JAWA BARAT,3277,KOTA CIMAHI,1143,TON,2020,padi
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,49475,TON,2020,padi
216,32,JAWA BARAT,3279,KOTA BANJAR,35762,TON,2020,padi
